given_name,surname,street_number,address_1,address_2,suburb,postcode,state,date_of_birth,soc_sec_id,id record
annika,mason,26.0,ainsworth street,legacy units,eaglehawk,5159,sa,19860615.0,2777725,B_51
fergus,sunderland,88.0,wilson ctescent,dunbar heights,whalan,6060,,19591210.0,4398162,B_52
webb,hari,1.0,throssell street,malmani,springfield,5108,sa,19270216.0,3864525,B_53
giorgia,smallacombe,10.0,dundas court,somerton aprk,glengarry,4106,sa,19990313.0,6652739,B_54
flnyn,painter,7.0,thomas hart street,railway stn,sea ton,2640,vic,19211124.0,8126727,B_55
tynn,,2.0,gallegha n circuit,,wakeley,4655,wa,19800407.0,1022048,B_56
arabella,reid,35.0,baracchicrescent,argyle,hermit park,3806,qld,19640323.0,1433160,B_57
,toms,31.0,weston street,blue hills,kelmscott,3304,qld,19930802.0,6211133,B_58
amelia,cochrane,74.0,morrow st reet,riverside professional centre,slacks creek,2084,tas,19220112.0,5154778,B_59
amy,berry,241.0,barlee olace,barrcalear,christiemdowns,6056,vic,19651223.0,9112808,B_60
katie,choroey,102.0,kangaroo court,,blakehurst,2738,vic,19380305.0,4782391,B_61
ryan,linhdolm,125.0,coolibah crescent,acadia,kingston,3116,vic,19110122.0,9865390,B_62
willkam,green,1.0,callistercrescent,villa 2,burrum heads,3078,sa,19101126.0,6887725,B_63
jamke,boecke,42.0,dirrawan garden,,whitfield,2099,qld,19321217.0,7045068,B_64
amy,oyse,60.0,jackie howe crescent,,sylvani,2571,vic,19740103.0,7813497,B_65
aydn,finlay,6.0,holyman street,milmilland,cowa,2225,nsw,19740203.0,5706958,B_66
sarah,roas,11.0,kangaroo court,glen shiel,wamberao,3144,vic,19330424.0,3530952,B_67
,neville,71.0,pleasance place,macarthur place,wanniassa,3875,qld,19730731.0,5739885,B_68
lucas,carmody,16.0,halifax close,,toowoomba,4211,sa,19950414.0,5174809,B_69
amy,steniert,20.0,werriwa cqrescent,kangaroo grnd,hillston,5251,nsw,19930211.0,7428687,B_70
kayla,braitahite,25.0,forwoods treet,braemar vlge,chewton,2261,nsw,19640906.0,6775714,B_71
max,rei,6.0,jamieson crescent,locn 2192,unanderra,2031,qld,19980521.0,3469031,B_72
kyle,rewe,20.0,moorhousedstreet,,blacktown,5540,vic,19091121.0,8852766,B_73
lewis,ryan,10.0,melba treet,binna burra mountain lodge,yerrinbool,5128,vic,19591211.0,9701047,B_74
bethany,deakin,43.0,tazewellc circuit,winchesterdowns,ballarat,5371,tas,19520625.0,4152955,B_75
huod,dichiera,52.0,gallagher street,glenmore,byford,4053,qld,19510703.0,1403854,B_76
mitchell,qunnicjliff,,illingwort hstreet,,penrith,3162,nsw,19350411.0,5567119,B_77
jack,wegman,9.0,julia flyn navenue,myros,armidale,2444,qld,19710718.0,3680861,B_78
matiswe,mccaffrey,164.0,throssell street,argyle,woy w oy,6012,vic,19961123.0,3108714,B_79
bella,,90.0,schonell circuit,greenhills,magill,3981,vic,19620712.0,7533159,B_80
phoe be,dixon,7.0,ambalindu mstreet,bracke n leigh,yass,6027,tas,19960119.0,3838118,B_81
michadl,richmond,7.0,tanumbiriniu street,professional centre,bundaberg,3020,sa,,6836733,B_82
tara,green,25.0,lashbrooke,chisholmstreet,boyne island,3073,nsw,19860550.0,1388911,B_83
stephanie,vorrasi,10.0,giblin street,pine h ill,nairne,6285,wa,19420803.0,6155719,B_84
zachary,clarke,19.0,melrose drive,jemula r downs,clifton springs,7000,wa,19680624.0,3444095,B_85
charles,hurkett,77.0,pocket avenue,craigview grove,rowvikle,3223,sa,19841222.0,9205765,B_86
flynn,rosato,25.0,la perousw street,cowal,east msitland,7410,wa,19160718.0,6064519,B_87
emma,smolcki,13.0,bengee place,,loxton north,3216,sa,19031203.0,8181500,B_88
katilin,,4.0,hawkins close,tullatrnudle,eaglehawk,4280,nsw,19671026.0,8483513,B_89
mol ly,garcia,1.0,chuculba crescent,arawang,morwell,2084,qld,19571103.0,2305243,B_90
rosoq,karlsen,48.0,lowe court,cottonwood,redbank lains,3013,nsw,19041101.0,3233946,B_91
john,cosenza,54.0,wentworth avenue,stoneyq creek,st kilda,4035,,,5193596,B_92
,durban,63.0,ormond street,,narrogin,3284,vic,19010130.0,3247158,B_93
masoen,juliana,,mana lpace,tinaroo falls,yagoona,5532,nsw,19140705.0,8963464,B_94
cooper,mcneiwll,119.0,the sandys,maidment place,dungog,5075,nsw,19080127.0,2706283,B_95
lauren,jeffrues,9.0,endeavour street,,patonta,2910,wa,19850503.0,4934969,B_96
biacna,brummer-archer,311.0,henry melville crescent,rosetta village,strathdickie,3023,qld,19890705.0,9167456,B_97
kiana,pieris,33.0,,mungrum stud,hwthorn,4650,vic,19370813.0,5026429,B_98
polly,nguyen,278.0,raiwallacourt,willaroo,beaconsfield upper,3029,qld,19260902.0,8797418,B_99
victqorka,fitzpatrick,16.0,clermont street,amber vale,lake tyers,4570,nsw,19220818.0,2176335,B_100
alex,beatton,273.0,kosciusko avenue,anzac house (cnra rcher s street,midway point,4214,sa,19100717.0,3485662,B_101
ella,richmond,2.0,investigat or street,mynolar,crestmead,4306,nsw,19000112.0,6508977,B_102
tuscany,yen,138.0,sage close,woolomoolan,mundingburra,3174,nsw,19011205.0,1974035,B_103
chase,gilbetrson,5.0,tipiloura street,cornvale,gununa,3083,nsw,19760713.0,9832872,B_104
tanyshah,jolly,462.0,finnertyplace,belvedeqre,alice springs,3167,nsw,19861204.0,2562045,B_105
paul,aaksoa,35.0,blazvyplace,elouera park,kingston,3143,vic,19280108.0,2229267,B_106
domihic,hogguan,29.0,devanny place,birrabilla,portarlington,3175,nsw,19561215.0,5034600,B_107
annalise,ma,6.0,,point cook home,stroud,6535,nsw,19270608.0,2160321,B_108
,braithwaite,136.0,hain place,john flynn medical centre,bellevue hill,2234,qld,19730806.0,8732209,B_109
kane,carbone,54.0,penrhyn street,solander centre,deer park,4030,sa,19960506.0,9098940,B_110
michael,maclennan,6.0,richmond street,lake downs super f ine merino stud,emu plamins,5279,qld,19390409.0,1643013,B_111
tommy,matthews,62.0,quirosrstreet,li ft,north ryde,2229,wa,19051224.0,9644815,B_112
kelsey,ovens,63.0,biraban place,eventidexhomes,st albans,2470,act,19891030.0,4850685,B_113
bianca,clarke,59.0,florencetaylor street,circlec ourt,chittaway point,2330,vic,19400401.0,6129111,B_114
zac,ryan,,naas lose,willandrarvillage,applecross,7249,nsw,19340605.0,9433767,B_115
adam,carbone,16.0,warrai place,cheroke e vlge,elizabeth south,3150,qld,19820611.0,2023828,B_116
hope,imogen,5.0,dumaresq street,delmar,beecroft,7307,wa,19770614.0,8438312,B_117
cameron,kouimanis,51.0,nulsen circuit,,tecoms,3931,qld,19671009.0,1274183,B_118
carbone,connor,,willyamaplace,kalooca,buddina,2700,nsw,19090228.0,1119288,B_119
tiana,worthington-eyre,10.0,hassell place,governosr resort,corrinal,6112,qld,19171101.0,3674431,B_120
samujl,heidrich,7.0,mcgivern crescent,el-wo odaro,highbury,3053,act,19710525.0,8110080,B_121
elle,mattehws,54.0,maddock place,glenburnie lodge,park orhcards,6058,vic,19960094.0,9253952,B_122
angie,arbuckle,214.0,mcinnes street,,ballarat,4808,nsw,19890525.0,7610312,B_123
,leslie,952.0,carpenter close,,cantebrry,2340,vicg,19950608.0,2438058,B_124
jeed,musolqno,19.0,spalding street,rosehill,willetton,4820,nsw,19631219.0,7754049,B_125
emiily,white,1.0,marou place,,marsdeg,3412,vic,19510901.0,6646759,B_126
shepherd,sybella,34.0,mainwaring rich circuit,,werrington,2118,tas,19460321.0,7440243,B_127
,cocharne,7.0,monaro crescent,ballafkona,hendra,4128,qld,19361016.0,5263623,B_128
charlotte,feeney,6.0,dangar place,brookfield,ermington,3128,nsw,19810505.0,9513852,B_129
timot hy,crouch,78.0,hussey cove,swingerghill,katherine,4570,nsw,19410815.0,7583582,B_130
zane,snell,30.0,altair place,grangemore,,6057,,19090918.0,3576930,B_131
jessica,vick,45.0,leahy close,villa74 village glen,scarness,2027,vic,19830919.0,8778791,B_132
el ton,nobel,1.0,willows trees,molineaux lpace,port v incent,2208,qld,19350729.0,1466352,B_133
vianca,rya,5.0,mareeba street,manila,leichhardt,2480,tas,19211205.0,7065063,B_134
alexander,crossman,31.0,spinifexstreet,binnawee,texas,3068,sa,,7807999,B_135
jaek,soden,3.0,hardwicie place,orange specialist m edical centre,bligh park,2852,nsw,19461110.0,4287888,B_136
hague,georgia,5.0,leahy close,,mount warren park,3218,vic,,4151813,B_137
schembri,brock,71.0,arkana stereet,redwoodvillage,cola,3156,wa,19530417.0,8819783,B_138
lucasj,rider,,mount vernon drive,boonsvi lle,whitfield,3193,vic,19561024.0,7575668,B_139
brooklyn,mercoerlla,13.0,knox retirement village,endeavour street,concord west,2038,nsw,19050715.0,7877973,B_140
chelxea,rusan,50.0,osburn drive,hansonse state,puncbhowl,4869,nsw,19091017.0,6615930,B_141
eleni,bartel,11.0,weave ll place,motnrose,toowoomba,2063,qld,19090725.0,4998898,B_142
bethany,eyer,33.0,madigan street,,balhannah,3165,sa,19170606.0,5083160,B_143
kade,hand,14.0,morduant place,collaroy,ringwood,3356,vic,,5013199,B_144
elly,webb,11.0,gouger sthreet,everxgreen,leichhardt,2550,nsw,19240923.0,6770160,B_145
harrison,snellin g,54.0,sproule circuit,yalkara,emerald,4216,nsw,19410412.0,1348871,B_146
callum,erett,9.0,tiptree crescent,,,3280,tas,19550825.0,3727793,B_147
benjamin,berryman,43.0,thornhill rescent,country tclub,magill,2072,qld,19360111.0,7934126,B_148
fraser,jasniach,39.0,davidson street,riverbend,kingston,3183,qld,19310910.0,6160407,B_149
ruby,garnsey,317.0,harcourt street,navan park,north narrabeen,4163,nsw,19731033.0,5892459,B_150
tra,,67.0,beauchamp street,grey oaks,robertson,2213,,19200922.0,7897903,B_151
shannon,heurr,65.0,fossey street,brindabella specialist centre,vaucluse,2010,qld,19511013.0,9539538,B_152
ethan,coleman,64.0,ragless circuit,,hindmarsd west,4701,nsw,19650701.0,9807949,B_153
cameron,cioffi,11.0,,inverneath,newf arm,2153,qld,19860725.0,7511789,B_154
carlin,flannery,67.0,namadgi circuit,regal oaks rteirement vlge,swan hill,4191,vic,19240419.0,3896653,B_155
jasnyn,yeap,30.0,white crscent,lawley p ark,murray bridge,3079,nsw,19500508.0,9139909,B_156
carla,hofhuis,7.0,mcculloch street,wytalbia,south brisbane,4066,nsw,19660816.0,3472110,B_157
abbey,crisci,23.0,gorge creekorchards,spence place,cygnet rver,7030,,19890327.0,7400712,B_158
layla,,71.0,howitt street,oaklan,kirwhan,4210,wa,19201015.0,4834950,B_159
philip,nguyen,1.0,cutlack s treet,narada,bunbury,3183,nsw,19391206.0,5131671,B_160
keely,demarco,56.0,serpentioe estreet,,mona vale,5113,wa,19910622.0,2184846,B_161
jock,sedunary,466.0,douglas clnose,,ar ar goo,3015,sa,19970805.0,3855499,B_162
,eyles,159.0,totterdelli street,,st kilfa,2602,nsw,19060606.0,3998859,B_163
kai,hobsxn,1985.0,battersby circuit,,dulwich hill,5573,nsw,19280304.0,9227124,B_164
amy,seetoy,50.0,busbh street,bellfield,st albans,2870,qld,19160523.0,4467636,B_165
jared,coleman,37.0,cumpston p lace,heatherdale,kingston,3130,nsw,19280705.0,2238622,B_166
ryan,angelina,1.0,andrews street,glenmore,bowming,2221,nswj,19460915.0,3778166,B_167
harriet,horsley,12.0,woinarski place,white lodge,mulgrave east,3280,wa,19710926.0,4215402,B_168
timothy,webb,23.0,tom roberts avenue,cathederals place,padstow heights,2197,nsw,19270531.0,2303333,B_169
jacinta,webb,108.0,rodway street,2nd last on right,gawler giver,2019,vic,19560708.0,3880973,B_170
connor,trait,6.0,lane place,,leichhardt,3337,vic,19150208.0,1776479,B_171
zali,walppkle,25.0,william husso crescet,muralappi,brymaroo,3147,wa,19550701.0,9616019,B_172
mia,jolly,,findlay street,hayfield vlge,kincumber,3995,qld,19171012.0,8801194,B_173
connor,shepherd,58.0,haddon sjreet,lone fe rn,beulah park,2770,qld,19430617.0,4866880,B_174
paris,negrein,30.0,stapylton street,treleen,coleambally,2145,qld,19620726.0,4121618,B_175
joshua,red,416.0,mcburney rescent,karingal farm,bayswater north,2165,vic,19160311.0,3652623,B_176
grace,carbne,37.0,longstaff street,gleneira,seymour,6233,vid,19380212.0,4562890,B_177
dillon,nettleford,23.0,haskett place,glenbrae,emu plains,822,wa,,6238993,B_178
riley,nguyen,76.0,florenceta ylor street,wacharoo,mill park,3181,nsw,19951106.0,4237972,B_179
isabella,elferih,61.0,moore steet,bangor lodge,dural,3044,vic,,4582565,B_180
alexandras,zolyniak,131.0,,wandana,girlaang,4285,qld,19421008.0,7197883,B_181
amber,hand,64.0,burnside street,cordial afctory,limeburnerscreek,2646,vic,19890422.0,8605183,B_182
lachlan,geduld,2.0,karrugang circuit,jacqoona station,arundel,4306,vic,19520703.0,3086091,B_183
ilam,tschitrpigs,61.0,biffin sreet,,blacktown,2221,nsw,19970528.0,6098354,B_184
joshua,white,85.0,hindmarsh drivev,hobbi t hole,nambour,3840,vic,19230425.0,7052918,B_185
shaun,sleathu,5.0,moorhouse street,inverenaath,eight mile plains,3805,sa,19580910.0,2873897,B_186
daniel,callahtn,119.0,halifax close,medical ce ntre,smythesdale,2400,nsw,19530309.0,3925704,B_187
kristo,matthews,632.0,southern cross drive,mafeking,pelicanwaters,2284,wa,19760312.0,5609707,B_188
bailey,gree n,76.0,jackie howe crescent,glengara billage,murgon,3340,nsw,19960416.0,1468056,B_189
zachary,kermeen,7.0,powell treet,tourist park,yass,5162,qld,19131006.0,1784799,B_190
ryan,dixon,34.0,newma street,dolphinarcade,upwey,2913,qld,19040202.0,5468762,B_191
harrison,hoang,10.0,mccaughey street,winchester downs,preston,4264,vic,19360225.0,1076510,B_192
lachln,theodore,1304.0,,bells ck,woodhouselee,4817,wa,19840528.0,7028688,B_193
jacob,waliler,89.0,dalley crescent,the ui llows,mosmann,2487,qld,19580408.0,6317326,B_194
ewan,stephenon,106.0,bowden crescent,kinglake central,leton,6244,nsw,19480830.0,4749458,B_195
liam,coenen,66.0,stretton c rescent,,patterson lakes,6060,qld,19690602.0,1128736,B_196
lachlan,webb,19.0,national circuit,,lockyer,7250,qld,19370423.0,4001224,B_197
,toms,31.0,weston street,blue hills,kelmscott,3304,qld,19930802.0,6211133,B_198
,georhe,15.0,,wurtulla shooping vlge,naroomj,4114,qld,19430207.0,5897606,B_199
julia,velzeboer,796.0,ewart street,,hackham west,5054,tas,19930613.0,2222450,B_200
isabella,laxrge,5.0,hayball place,hawkhurst cottage,mount stuart,6017,nsw,19541211.0,6608468,B_201
levi,oaks,38.0,courtice close,sunshin e farm,findon,6050,wa,19101128.0,9317947,B_202
brooklqyn,hamldey,18.0,eildo nplace,flowefpot,woodladns,3013,nsw,19550602.0,7460551,B_203
gianni,campbell,39.0,spring range road,,eden,2602,vic,19911228.0,4150453,B_204
rachel,donaldson,9.0,lee-steere crescentp,lake kenn eyd street,sunshine,3175,nsw,19581218.0,2248813,B_205
,alwast,6.0,nunkeri,lhotsky street,brighton,5032,nsw,,7148945,B_206
olivia,davdi,67.0,,thorndale,chelsea heights,4218,,19910923.0,3201406,B_207
daniele,burford,72.0,waddell place,pine view,june,4055,qld,,3005084,B_208
alessandra,eyles,14.0,loureiro street,rowethorpe,illabo,2014,nsw,19210630.0,7014176,B_209
abbye,dixon,1.0,marcus clarke street,grasmere park,scarborough,3141,qld,19441008.0,8127929,B_210
samantha,coady,5.0,michie dtreet,tallaranie,minlaton,5024,vic,19951116.0,5201652,B_211
aliza,lloydd-wight,42.0,port jackson circuit,grnnyjflt,brusbane,3078,qld,19800509.0,8844981,B_212
danidl,toms,5.0,mcceand avenue,sprintbanks,kendaol,2030,vic,19760921.0,3896174,B_213
heath,everett,7.0,hurry place,reinfr ew park,belmont,2447,qld,19430834.0,7474300,B_214
william,,32.0,doonkuna street,colomie,dululu,4560,,19860326.0,9704755,B_215
makayla,cochrane,9.0,tillyard drive,the willows,coffshrabour,5089,nsw,19951205.0,3164154,B_216
stephanie,heidrich,43.0,zamia place,cooroora,hyde park,6101,qld,19300222.0,7559482,B_217
nicole,schmook,3.0,grounds crescent,,logan reserve,3840,tas,19860822.0,4490353,B_218
harrison,mcneull,1.0,geeves cort,branmigans,highett,2319,qld,19280108.0,6287203,B_219
michael,asendorf,20.0,ulm street,elmwood,jindalee,6323,vic,19560227.0,4757924,B_220
simmonds,jaek,37.0,castley xircuit,lydnilan,mansfield,6027,nsw,19110310.0,6453549,B_221
courtney,mcgregor,57.0,dianella street,queens lake village,bassendean,3218,,19830529.0,5272719,B_222
tobp,roles,63.0,chippindall circuit,,peregian beach,2337,nsw,19770325.0,8154319,B_223
brianna,watetston,8.0,monaro crescent,parraewena,hoppers crossing,2168,nsw,19571109.0,4074359,B_224
kalli,bisjop,36.0,,moon bni,yarrasnga,2750,wa,19020306.0,4667624,B_225
jaykob,cochrane,1.0,fowler place,sugdencglen,tweed heads,4504,nsw,19390209.0,7792215,B_226
wilson,sporn,1.0,barnett close,sherwood,bowral,2008,tas,19311113.0,3629982,B_227
harry,bjorksten,47.0,crisp ircuit,retiremente village,fullarton,4101,nsw,19830511.0,3332626,B_228
charlotte,petersen,66.0,sturgeswplace,gerovin val ley ldge,landasle,2217,nsw,19691217.0,6017558,B_229
isabella,reid,42.0,sherbrooke street,armidale pria vse hospital,tallong,2088,nsw,19101002.0,2082772,B_230
john-paul,pra,22.0,david street,greater ce ss vill,croydon north,4737,wa,19800811.0,8703902,B_231
benjamin,ever ett,17.0,herron crescent,redhill,forrestfield,3550,nsw,19750204.0,2043392,B_232
james,worsleyw,1.0,pike p lace,melaleuca,broadmeadows,4818,nt,19651211.0,6697804,B_233
kane,tiller,19.0,verbrugghem street,karana hoestead,,2122,vic,19680109.0,4091125,B_234
timothy,kinter,29.0,hawker street,argyle village,quilpie,2598,vic,19190926.0,7137953,B_235
,monda,54.0,burrinjuck crescent,,aubrun,3345,nsw,19041125.0,9464025,B_236
chloe,herbert,30.0,canberra avenue,bombowzee,humpty doo,5082,vic,19791208.0,1380182,B_237
bridget,maynrd,82.0,barwon station,irvine street,bassendewan,4503,nsw,19250615.0,7440041,B_238
polly,matthes,4.0,fellows street,northwood park,belmont,6056,vic,19480215.0,2564677,B_239
keira,lowae,15.0,morant circuit,wilding,warburton,4061,qld,19900523.0,4044906,B_240
douglas,fitzpatrick,16.0,booroondara street,shadoof lodge,toodyay,2148,vic,19050428.0,2826631,B_241
dillon,colenan,8.0,paul coe crescent,clinton caarvan park,yarraville,3260,nsw,19531117.0,1835941,B_242
matilda,snell,19.0,grylls crescent,family da y care,trevallyn,3186,vic,19870819.0,3860203,B_243
luke,cowle,51.0,dampier hcrescent,glenevxe,vermont south,4722,qld,19160724.0,3612406,B_244
lachlnn,reid,5.0,carrington road,legacy vlge,yacoona,2446,nsw,19500531.0,3232033,B_245
stephanie,tuckwell,6.0,weddin circuit,hillsidrfarm,scarborough,4125,sa,19920918.0,7564218,B_246
simmonds,jaek,37.0,castley xircuit,lydnilan,mansfield,6027,nsw,19110310.0,6453549,B_247
alyssa,shepherdson,,wuruma place,the wi llows,leichhardt,2165,qld,19380508.0,8856494,B_248
lachlan,jolly,7.0,daintree crescent,wondersun,sandgate,2537,vic,19480906.0,8781863,B_249
hanmah,gluc,63.0,noblec lose,,kolodong,4352,vic,19760710.0,6057103,B_250
maddison,lonto,5.0,namadgi circuit,,kiels moungain,2261,qld,19050429.0,8559890,B_251
cooper,girdnler,9.0,arid place,,burwood,2577,vic,19630327.0,3241613,B_252
adam,coulls,41.0,tiwi place,ettrick,yacknadandah,3116,qld,19650328.0,1748977,B_253
harry,waller,111.0,lochbuy street,willmon tpark,glendale,3170,wa,19680628.0,1311728,B_254
willia,paru,46.0,stieglitz circuit,,coromandel valley,6210,qld,19100815.0,1269870,B_255
montana,webb,28.0,joyce pojace,ormerod cottage,surfers paradise,2305,vic,19420710.0,8424221,B_256
har risn,boulter,9.0,macgregor street,stonyi rdge,cecil plains,3070,nsw,,5094110,B_257
domihic,hogguan,29.0,devanny place,birrabilla,portarlington,3175,nsw,19561215.0,5034600,B_258
adela,lomman,7.0,,canberrathse,frankddon,3158,vic,19980301.0,4768567,B_259
jayden,death,13.0,lyle plce,omearas farm,leeton,2111,vic,19880218.0,2543380,B_260
pegg,bradley,1.0,gaskplace,swanleigh,surry hills,5600,qld,19190625.0,8214409,B_261
,grafton,30.0,springvale drive,fernbank,sunshine,3168,vie,19350919.0,3481992,B_262
imogen,green,1.0,trickett pjlace,nullo mnrain,coromandel valley,7027,,19770615.0,3231911,B_263
tiarnan,mason,37.0,ames place,grandview,ashgrove,2077,sa,19700818.0,7346247,B_264
cale,spurden,119.0,mcalpine place,greensopes,boyne island,4228,sa,19580816.0,8017617,B_265
jeswica,blackwell,20.0,mcgeep lace,brentwoo dvlge,ermington,2795,sa,19801015.0,4099338,B_266
alisza,cappelluti,,lightfoot crescent,brampton,seymoru,6084,wa,19160523.0,5168724,B_267
bree,beattie,21.0,kosciusko avenue,somerset cottage,woodend,6210,vic,19460703.0,1384798,B_268
jed,salt,15.0,kurram clse,,midway poicnt,4102,nsw,19541122.0,7471593,B_269
george,neeb,33.0,goyder srteet,killarney park,warrell creek,4114,vic,19581231.0,1539196,B_270
phoebe,melhm a,,gara pkace,hse 4,collie,7113,nsw,,8345956,B_271
tayla,coulson,119.0,backler place,,toowoomba,4305,vic,19300517.0,5222388,B_272
maddison,weidenhofer,28.0,dinnisonc ircuit,,bray park,2584,qld,19200802.0,6273334,B_273
lily,clarke,25.0,emerton street,eight yile,woodville south,4223,nsw,19690612.0,4559335,B_274
john,ryan,,chuculba crescent,redfern station,,4605,vic,19840524.0,2056918,B_275
hope,connor,7.0,wyselaskieycircuit,hidden valley estate,goldenw bay,3070,vic,19190806.0,1644424,B_276
isabela,pride,29.0,porteousjcrescent,,black rock,2062,vic,19630926.0,7058877,B_277
olivia,moody,10.0,,bowillia xourt,hahndorf,7316,nsw,19620505.0,4040256,B_278
mia,mihaylov,1.0,igera palce,glenview,montmorency,7140,nsw,19480330.0,3359084,B_279
mccarthy,mikaela,62.0,derrington crescent,,denistonw east,3564,vic,19821001.0,8749270,B_280
jessica,stesrnes,201.0,lister crehscent,redfern station,seaofrth,4154,qld,19440928.0,7272157,B_281
alana,manson,52.0,,vivigani,cloverdale,2118,vic,19460725.0,4207566,B_282
jack,harrington,1385.0,gladstone street,amberu,watsonia,4066,nswz,19820311.0,7610085,B_283
emiily,kutschki,,ebden street,colleton,elwood,2425,nsw,19451004.0,3187789,B_284
,binnsd,90.0,plummer street,toow oomba,hoppers crossing,2026,sa,19011227.0,4137992,B_285
